"Zeitstempel","Bitte geben Sie das Land und die Stadt an, in der Sie arbeiten:","Bitte kreuzen Sie Ihr Geschlecht an:						","Welcher der folgenden Altersgruppen gehören Sie an?","In welcher der folgenden Einrichtungen sind Sie beschäftigt:","In welcher Beziehung stehen Sie zu der/den pflegenden Person/en?","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Spaß daran neue Technologien auszuprobieren.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich sehe keine Notwendigkeit für neue Technologien.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Angst vor Veränderung durch neue Technologien.]","Welche Maßnahmen zur Verhinderungen von Stürzen haben Sie in Ihrer Einrichtung bereits ergriffen?","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Der Sturz muss mit einer Genauigkeit von über 90% erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Es darf kein Fehlalarm ausgelöst werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch im Dunkeln erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn sich mehrere Personen im Zimmer aufhalten.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss indoor als auch outdoor erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn die Person durch Möbelstücke verdeckt wird.]","Sonstiges:","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte sich mit der Kamera frei im Raum bewegen können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Email an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Anruf/SMS an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einer Person nicht zu nah kommen, um keine Stolperquelle zu sein.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine Tierform annehmen um eine höhere Akzeptanz der Bewohner zu erlangen.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte selbstständig zur Ladestation zurückkehren]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine möglichst lange Betriebszeit haben.]","Wie lange sollte die Betriebszeit sein?","Sonstiges","Wo könnten Sie sich einen Einsatz des Roboters am ehesten vorstellen?","Wie teuer darf ein Sturzdetektionssystem Ihrer Meinung nach sein?","Die Zahlung sollte erfolgen:","Ist Ihrer Meinung nach ein Einsatz eines Roboters zur Sturzerkennung sinnvoll (mit Begründung)?","Welche Verbesserungen könnten Sie sich vorstellen?","Könnten Sie sich weitere nützliche Funktionen des Roboters vorstellen und wenn ja, welche?"
"2022/06/09 7:42:58 PM OEZ","Deutschland, Stuttgart ","weiblich","31-35","Krankenhaus","beruflich","2","2","1 - gar nicht","Aufklärung, geeignetes Schuhwerk, keine Stolperfallen","2","2","3","3","2","3","","3","2","3","3","2","3","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 1.000 €","einmalig","Im Krankenhaus weniger, da die Patienten für gewöhnlich nicht alleine im Zimmer sind und immer jmd nach dem Personal klingeln/rufen kann, und wir machen regelmäßig Durchgänge ","",""
"2022/06/09 7:46:23 PM OEZ","Österreich - Graz","weiblich","15-20","Krankenhaus","privat","3","2","2","Sturzmatten welche es erkennen wenn man auf sie steigt","3","2","4 - sehr wichtig","2","3","4 - sehr wichtig","","3","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","für verwirrte ältere Patienten z.B. Demenz wäre ein Roboter sicher hilfreich da die Akzeptanz insbesondere bei einem Roboter in Tierform wahrscheinlich erhöht wäre","eventuell zusätzliche Funktionen wie erkennen von Notsituationen bei Patienten die alleine leben aber pflegebedürftig sind, also Rettung rufen bei Herzstillstand etc.","siehe vorherige Antwort"
"2022/06/09 9:33:45 PM OEZ","Mexico","weiblich","21-24","Krankenhaus","beruflich","3","1 - gar nicht","2","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","4 - sehr wichtig","4 - sehr wichtig","3","3","3","3","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus","100 € - 500 €","in monatlichen Raten","","",""
"2022/06/09 10:57:25 PM OEZ","Deutschland, Dortmund","weiblich","46-50","Häusliche Pflege","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","3","2","3","4 - sehr wichtig","> 8 Stunden","","Pflegeheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja","",""
"2022/06/10 9:41:21 AM OEZ","Graz","männlich","15-20","Häusliche Pflege","privat","4 - sehr","1 - gar nicht","1 - gar nicht","keine/flache Teppiche, Geländer","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","3","4 - sehr wichtig","3","2","3","4 - sehr wichtig","1 - unwichtig","> 8 Stunden","","Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ja, da in Pflegeheimen stürze in der Nacht meist erst am morgen entdeckt werden","",""
"2022/06/10 10:49:10 AM OEZ","Österreich, Graz","weiblich","21-24","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","2","keine","2","2","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","3","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Häusliche Pflege","> 1.000 €","einmalig","","",""
"2022/06/10 1:20:47 PM OEZ","Deutschland, München","weiblich","21-24","Krankenhaus","beruflich","3","4 - sehr","1 - gar nicht","Schulungen, Risikoeinschätzung, geeignetes Schuhwerk","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","2","2","4 - sehr wichtig","3","1 - unwichtig","1 - unwichtig","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 1.000 €","einmalig","","",""
"2022/06/10 1:38:23 PM OEZ","Athen, Griechenland","weiblich","31-35","Häusliche Pflege","privat","4 - sehr","1 - gar nicht","1 - gar nicht","Keine","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja es kann bessere Plege geben","",""
"2022/06/10 2:48:25 PM OEZ","Berlin, Germany","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","","4 - sehr wichtig","3","3","3","3","2","","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","in monatlichen Raten","","",""
"2022/06/10 5:50:31 PM OEZ","Ja","weiblich","21-24","Krankenhaus","privat","4 - sehr","4 - sehr","4 - sehr","Ja","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","No","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","> 8 Stunden","","Häusliche Pflege","> 1.000 €","in monatlichen Raten","Ja","Ich","Nein"
"2022/06/11 10:01:14 AM OEZ","Sachsen-Anhalt, Magdeburg","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","ausreichende Beleuchtung der Räume, Haltegriffe","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","3","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja, ich unterstütze den Einsatz neuer Technologien in der Sturzprophylaxe","freundlicheres Aussehen des Roboters","Der Roboter könnte im Falle eines Sturzes automatisch einen Krankenwagen rufen"
"2022/06/11 12:42:17 PM OEZ","Polen, Będzin","weiblich","21-24","Krankenhaus","beruflich","4 - sehr","2","2","Keine","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Der Einsatz eines Roboters ist sinnvoll, hängt aber von seiner Effektivität ab","seine Effizienz, Betriebsgeschwindigkeit, längere Batterie, Benachrichtigungssystem für Sonderdienste, Signale im Falle des Sturzes einer solchen Person","Überwachung der Person, Senden von Informationen an die Familie, Erinnerung an Medikamente"
"2022/06/12 4:57:20 AM OEZ","Mexico, Monterrey","weiblich","21-24","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","erhöhen Sie die Qualität der Bettwäsche","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","","4 - sehr wichtig","2","4 - sehr wichtig","3","2","2","3","> 4 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja","Batterie","Nein"
"2022/06/12 5:19:51 PM OEZ","Deutschland, Sonsbeck ","männlich","Über 60 Jahre","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Optimierung der Räume, Entfernung von Stolperfallen etc , Einstellung etlicher Alltagsbegleiter","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Häusliche Pflege","> 500 €","in monatlichen Raten","Ja , absolut . Gerade in Altenheimen und in der häuslichen Krankenpflege ist eine Entlastung des Pflegepersonals und eine Verbesserung der Versorgungssicherheit dadurch gegeben. ","Meldung eines Sturzereignisses an Handy des Pflegepersonals ","Kontrolle anderer pflegerelevanter Dinge : essen , trinken , verlassen des Raumes/Hauses"
"2022/06/12 5:33:10 PM OEZ","","weiblich","41-45","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Vermeidung von Stolperfallen, Teppichen Türschwellen etc","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 4 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Patienten werden viel schneller gefunden und versorgt ","","Erkennen ob die Person das Haus verlàsst "
"2022/06/13 12:20:42 AM OEZ","Landshut, Deutschland ","weiblich","15-20","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Klingelmatten, Niederflurbetten, engmaschiges Monitoring","3","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","3","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 500 €","einmalig","Ja, besonders in Pflegeheimen oder im häuslichen Umfeld kann so sehr viel schneller Hilfe bei Stürzen alarmiert werden","",""
"2022/06/13 3:28:14 PM OEZ","Österreich, Kundl","weiblich","21-24","Labor","privat","3","2","1 - gar nicht","Verpflichtendes halten wärend dem Treppensteigen, Beschilderung ","3","2","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","3","> 8 Stunden","","Altenheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja, da es somit nicht notwendig wäre, dauerhaft Personal zur Verfügung zu stellen","Verschiedene Formen/Tiere anbieten","Kombinieren mit Sprachsteuerung"
"2022/06/13 6:21:20 PM OEZ","Österreich","männlich","15-20","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Gehhilfen","3","2","3","4 - sehr wichtig","4 - sehr wichtig","3","","4 - sehr wichtig","3","4 - sehr wichtig","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","Ja gerade bei Personen die keine Überwachung 24/7 haben","Bessere Handlungsmöglichkeiten für die Behandlung/Erste Hilfe","Wesensveränderung in der Person, Synkopen wahrnehmen, "
"2022/06/14 7:56:23 AM OEZ","Deutschland München","männlich","25-30","Arztpraxis","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Geschirr das an der Decke befestigt ist.","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 2 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 1.000 €","in monatlichen Raten","Ja, da auch bei Personalmangel ein Sturz sehr schnell erkannt werden kann.","Soweit keine","Soweit keine"
"2022/06/15 4:53:20 PM OEZ","Kolbermoor","männlich","51-60","Pflegeheim","beruflich","3","1 - gar nicht","1 - gar nicht","Kraft-Training, Niederflurbetten","4 - sehr wichtig","2","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","3","3","3","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 4 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","einmalig","Notsituationen schnell erkennen und Alarmschlagen, wegen schneller Hilfe","",""
"2022/06/16 6:12:38 AM OEZ","Deutschland, Rosenheim","männlich","36-40","Pflegeheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Safebag, Klingelmatte, ","4 - sehr wichtig","3","4 - sehr wichtig","3","3","3","","3","2","3","4 - sehr wichtig","2","3","4 - sehr wichtig","> 8 Stunden","","Pflegeheim","> 500 €","einmalig","","",""
"2022/06/16 12:55:57 PM OEZ","Deutschland Aschau im Chiemgau","weiblich","31-35","Pflegeheim","beruflich","3","4 - sehr","1 - gar nicht","Klingelmatte, Sensorleiste, Safebag oder Matratze vor dem Bett, Protectorenhosen","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim","100 € - 500 €","in monatlichen Raten","Wenn er die oben beschriebenen Funktionen erfüllt, dann wäre er sehr sinnvoll.","",""
"2022/06/17 9:50:31 PM OEZ","Deutschland, Frasdorf","weiblich","51-60","Häusliche Pflege","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Aufklärung und Info der Klienten und Angehörigen im häuslichen Bereich zur Sturzprophylaxe.","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja, wenn jemand den Notrufknopf nicht mehr drücken kann, ist immer noch der Roboter da, der Alarm auslöst.","",""
"2022/06/18 1:51:44 PM OEZ","Deutschland, aschau","weiblich","46-50","Häusliche Pflege","beruflich","2","4 - sehr","4 - sehr","Teppiche weg, angem. Schuhe, medi‘s richt eingestellt sind, usw","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Häusliche Pflege","> 1.000 €","in monatlichen Raten","Jein, bei Personen die nicht technikaffin, könnte er sinnvoll sein. Es gibt schon smart watches, die einen Sturz melden. ","","Mit eingebauter ruffunktion, wenn jemand gestürzt ist und nicht bewußtlos, dann gleich sagen kann ob er alleine aufstehen kann oder Hilfe benötigt "
